square,name,type,description,color,visible
038.002,THE CITY OF XOR ★★★★★,city,"The largest, and most depraved city in all of the Borderlands. About 20,000 people are living in this city at any given time. Most anything and everything can be bought, and sold within the city. The city is ruled by a Sorcerer Prince of Urden named Zarlykorthon the 5th Prince of Urden. He fights as a 99th level Magic-User, yet he will rarely put in the effort. Preferring instead to have his Secret Police make people disappear. Within the city a multitude of cults can be found, the greatest among these being a Cult to Helios the Sun God. All the worship is done on a single famous street called Holy Row.

The city is home to another branch of the Borderlands Sect of the Thieves Guild. Korgath makes regular visits to the city to make sure the operation is running smoothly. In addition to Thieves and Religions, a multitude of other guilds and organizations operate within. Such as the Fighters Guild, Mages Guild, and the most influential, The Grand Arena of Xor. All guilds will have members of adequate level to train under.

Cult of Helios. Operated within the largest of the Temples on Holy Row. The cult will seemingly be willing to help the poor and destitute, but rumor has it some of the helped beggars go missing.

Thieves Guild. Ran by Korgath the Legerdemainist and 70th lvl Thief, the Thieves Guild operates from its headquarters in Nuln. Most of its operations however are carried out within Xor due to the richness of its denizens. The guild boasts around 100 members, and within the city operate out of the Thieves House on Murder Street. They accept new recruits who must prove themselves by stealing an item valued at least 5,000sp.

Fighters Guild. Ran by Major Doom the 85th lvl Fighting-Man. He accepts anyone that can last more than 5 rounds in the pit with him. The guild sports an impressive 400 members and will help recruits get jobs as mercenaries, bodyguards, and arena fighters.

Mages Guild. Ran by Torbanzani the 77th lvl Magic-User. The guild focuses on the study and improvement of magic and magical items. They only accept Magic-Users of at least 4th lvl who know at least 15 spells. Upon recruitment mages push themselves to discover the most powerful magical spells. Members will have access to training under magical masters and the guild has access to a wide variety of spells up to 9th level. The willingness of them to teach certain spells is subject to Referee Discretion.

The Grand Arena of Xor. The largest arena outside of New Alexandria. The arena holds a fight once a day. Most are filled with slaves fighting for glory, though some ‘event’ fights are held as well. For example, the arena has been known to bring Dinosaurs, Lions, Champions etc. as well as flooding the arena for naval combat, building miniature towns, and more. This bloodsport is the most popular draw within the Borderlands. All funded by the 5th Prince himself.",#ff6644,true
039.004,DOOR OF THE ANCIENTS,dungeon,Passageway into a massive complex built by an ancient Magic-User whose name has been lost to time. This 100’ tall massive door can only be opened with a combined Strength Score of 100. Rumor has it that within it’s halls rests the remnants of a long forgotten God.,#44aa44,true
039.016,TOWER OF BENZOBORGANA,dungeon,"The great seer and 30th level Psychic Benzoborgana has held himself within this tower and hasn’t left in over 100 years. No one knows if he is truly still alive, though adventurers have been testing the waters by inching closer and closer to breaking in.",#44aa44,true
041.002,DYNACO CULT,location,"Nestled in a small clearing in the forest of liin, lies a community of fervent believers in ancient ways of Dynaco. After finding a Dynaco brand AI they gained access to the extremely powerful Dynaco Training Videos. In addition they are now equipped with their Dynaco Employee Handbook, and have unlocked psychic powers. They act as a knowledge base of all things Dynaco. They believe Arthur William Black 'The Man Upstairs' to be a God.

There will always be 20-200 Dynaco Cultists here at any given time. They are usually non-violent, as long as they think there is a chance to sell you something. When new travelers arrive they make sure to say the sacred Dynaco greeting ""Hi welcome to Dynaco. I love you"". They will have an assortment of broken Dynaco equipment, strange items, body parts, and/or ammunition for sale but there is a 20% chance they will have a Dynaco Branded Magic Item in stock as well. They will protect the Dynaco Training AI with their lives. If players are able to gain access to the Training Videos they must make a Sorcery Saving Throw, or get hired by Dynaco. Which means they will be brainwashed as the rest of the cult has. The Cult also has access to 1 Dynaco Robot who will follow their orders. The Robot is malfunctioning however, and players with 17 intelligence or higher may be able to reprogram the machine.",#c8b888,true
041.021,THE FROZEN TOWER,dungeon,"Home to an insane cryomancer running tests on aliens, and mutants alike. There is a 1 in 6 chance each night he is standing naked on the balcony of his tower casting dark rituals to keep the eternal snow falling within 5 miles of the tower. It is situated in the middle of a frozen lake, and all who sleep within sight of the tower must make a Sorcery Saving Throw, or be under the effects of the Charm Spell, and drawn into the tower.",#44aa44,true
043.012,MOBIUS ALTAR,location,"Sacrificial altar of the Cult of Mobius the Mad God. There is a 35% chance of 20-200 cultists being present to sacrifice a maiden under the light of the stars. 05% chance of this during the day. If the sacrifice is completed the Stone Door of Mobius will appear. It will be supported by the two Jesters of the Mad God, 'Left' & 'Right'. They will allow passage into Delirium the Realm of Madness to any within in the area. When inside the realm of madness Characters must make Sorcery Saving Throws every day, or lose themselves to the realm. Alignment changes to Chaotic. If the Characters were the ones who completed the sacrifice, Mobius the Mad God will invite them inside, and offer Land Ownership within the Realm. This comes with a clean copy of the Deck of Many things, and a place to build a less-than-sane Keep.",#c8b888,true
043.018,RUINED VILLAGE,location,"The remnants of a town torn apart by the Sooten Soldat, and its Giant-Mole riding under-dwellers. Rumor has it they kidnapped the entire town, and crawled back into the earth to further the schemes of their God Nidhogg. The Sooten Soldat aspires to invade the Overworld with the forces of the Underworld. Their Army is comprised of 600-800 Troops. Roll their army composition as you would Cavemen, with Giant-Moles instead of Horses.",#c8b888,true
-019.084,NEW ALEXANDRIA ★★★★★★,city,"While Xor may be the largest city in the Borderlands, New Alexandria is by far the largest city in the world. With almost 1 Million inhabitants, New Alexandria is an adventure in of itself. It claims to have allegiances to no nation, though Malores seems to maintain a steady naval presence around the New Alexandrian ports. The City is ruled over by Warlord turned Hero, Alexander the Conqueror. As legend has it Alexander found remnants of an old world library. It was here that scholars say he found the secrets of the old ones. Whether, or not the rumors are true, Alexander was able to conquer the surrounding wild lands on the northern edge of Khalida, and form them under a single banner. Soon construction on a monumental scale began. New Alexandria was born. No one is sure what has kept Alexander alive over the 324 years since the cities construction, and no one complains. The ultra wealthy are said to have access to vehicles that can ride the sky, and street lights that never turn off. Not to mention, ever imposing itself in the sky above is the great 'Kanaris' airship. It is considered an unrivaled weapon of war. Now mainly used as a show of force over, a trophy of sorts. Though not all is well within the grand city. The Thieves guild of New Alexandria is by far the largest in the world. There are even rumors that the slayers guild known as the Black Hand is headquartered here. Commanded by their leader the Night Angel. A figure who is said to answer only to the Saint of Shadows himself. In addition to the less that savory guilds, there is also a stark contrast between the ultra wealthy of the city and its underbelly. Beggars wail on every street corner, Peacekeepers patrol the streets putting an iron boot to dissent, and an ancient darkness kept secret far beneath the city. Even with all of that, most yearn for New Alexandria. To live a life outside of the fears that lurk within the dark of night. Too bad nothing can last forever.",#ff6644,true
095.051,ZENFAERON ★★★★★★,city,"The grand floating palace of the Sorcerer King of Urden doubles as the seat of ultimate law in the land. While the Sorcerer King may have final say on all decisions within the magocracy, he has all of the great Princes of Urden convene on the most important rulings. When the Sorcerer King calls a meeting of the Princes none may ignore the call. As doing so would result in excommunication from magic itself. This calling is referred to as the Court of the Magus. There have been exactly 39 Courts of the Magus called within the past one thousand years. The first being the appointment of the first Sorcerer King. Though others have not been as glamorous. For instance the 6th Sorcerer King once called a Court of Magus over a disagreement on the color blue. The most recent calling of the Court of Magus was made recently (Rat, Castle, 1638 1c PI to be exact). The most recent Court of Magus pertained to the Archmage of the Saria Sanctum, Georhoth Amaranth, for the High Crime of Necromancy. The Archmage’s son, Xerxes Amaranth the 9th Prince of Urden, attended this session, and saw to an innocent verdict being reached. Georhoth is now a free mage.",#ff6644,true
084.044,THE SARIA SANCTUM ★★★★★★,location,"This is the Grand Academy of Urden. The Saria Sanctum has trained the brightest warlocks ever seen. The Sorcerer King himself was once a pupil of the renowned establishment. Located in the heart of the Uthiri Mountain range, the Saria Sanctum is maintained by an Archmage. They act as both Headmaster and lawmaker for the faculty and students. The school is not without its downsides however. The student body has a 60% chance of death, mutilation, and/or transmogrification. It is not the kind of school where you chat in the lunch room before class. Instead it is a place for sorcerers to test their limits. Only the strongest, wisest, and powerful survive. Those born without magic in Urden are second-class citizens known as Noxis. Usually treated as slaves, or turned into Orcs within the flesh pits. Of course that is Maloresian propaganda, since we all know Orcs were never human. Right? The current Archmage of the Saria Sanctum is Georhoth Amaranth, recently found innocent of Necromancy. Attend this school at your own risk, and all hail the Sorcerer King!",#c8b888,true
-156.060,THE IMPERIAL CAPITAL CITY OF AQUILAE ★★★★★★,city,"Hate mutants? Wish you could be closer to the seat of the Maloresian Imperial Throne? Want to worship Mendorf better by kissing the ring of the Pope? Then the Imperial City of Aquilae is for you. Only Pure Strain Humans are allowed within the walls of the city under orders of the Pope. With a population of over 300,000 it dwarfs most other cities in the world, save for New Alexandria of course. Aquilae is also the seat of the Imperial Throne of Malores. Any upstanding citizen of the Empire would dream of seeing its grand aqueducts and gardens. Unfortunately sad news has reached the ears of those living in Aquilae. The Emperor Donatus Julius Vitalis, was just assassinated while visiting Lord Percival Amber of Quebet. This news has tensions high between Malores, and its sister nation Quebet. Was it the Black Hand, Lord Percival's Son Simon, or some other third party? The Holy Knights of Mendorf intend to find out.",#ff6644,true
001.018,CITTA' VICINO AI MORTI ★★★,city,"This walled Maloresian city is home to the Witch Hunters Guild, and the Sel Mathia Dungeon Entrance 1.",#ff6644,true
031.004,CARSE ★★★,city,"Carse is a city caught between two worlds, conquered by the Urdish Empire generations ago, it has since become its own independant city-state ruled by a Barony. Free Folk of the Borderlands and the descendants of conquerors from Urdan live together in an uneasy peace, with many of the Urdish descendants losing touch with their Magocratic roots, many not being spellcasters at all. Bordering the Asofyet River, the city is a hub for trade from all over Firnum, with foreigners to the city hardly given a second glance. Ruled by Baron Bogardis Almareth the IV and his wife, a Free Folk woman named Baroness Winona Almareth, Carse is a well guarded, if fractured, city on the Borderlands. While the land itself isn't terribly fertile, it's location as a central hub for trade makes it a tasty prospect for any nefarious organizations who want a cut of the action. 
",#ff6644,true
031.032,BALLEYON ★★,city,This is now the home to a new Dead Zone in the borderlands... not to mention Kaiju...,#ff6644,true
003.019,DECIMA ★★,city,"THE TOWN OF DECIMA Hex #0319 
This village was built 50 years ago when, during a Maloresian fort building excursion, Decimius Licinius discovered the Grand Dungeons. He was just a lowly commander, but after the discovery he was named Baron of the area. The city soon followed. Decima quickly became a hot spot for adventurers, guilds, merchants, and more. Not to mention the horrid cults, and dark brotherhoods that always trail behind greatness. https://barrowsandborderlands.com/pages/dungeon-of-the-fel-lord

DUNGEON OF THE FEL LORD
All that lives must also die... except for the Fel Lord. It began long ago, after the stars fell, and Firnum was born. A lowly Conqueror King, consumed by a lust for glory, delved far to deep into that most dead of places, the Plateau of Stars. Here, violet power warps flesh, and chocked the King in starglow. He cried out for help... yet no god answered... No... Something dark, and forgotten headed him instead. It gave the King new false life. With it, an avarice grew within him. No longer content with his khanate, He hungered for that which was revealed to him. The power over life itself. Thousands of years of conquest and glory passed. The King who became the Fel Lord built here his monument to greed. It is here that he humbled gods, bound daemons, and hoarded vast treasures... Here in this vastlabyrinth so named, the Dungeon of the Fel Lord...",#ff6644,true
034.081,ANGEL CITY ★★★★★★,city,"Angel City as a containing silvery glass towers resting on an island in the middle of the Lake of Dreams. It describes the city as being ran by the 'Perfect Being' and to be protected by 100' tall Kaiju Arcgangels wielding flaming swords. It is also said to be home to the fabled Library of Sel Mathia, filled with all the knowledge in the Multiverse. 

""Perfect Being"". The Perfect Being is the all powerful perfect AI created by Dynaco before the Starfall. She is the opposite of AM.

There is an active Volcano under the city.",#ff6644,true
087.157,TOWER BLACK AND THE BIRTHING PODS OF CHAMPIONS ★★★★★★,city,Capital of the Osmian Kingdoms. This is where only the best of the Warrior Caste are born.,#ff6644,true
